url,type,name,http_status,is_self_canonical,canonical_found,is_index_allowed,is_server_rendered,title,has_desc,schema_valid,overall_status
https://collectibles.uy/marca/medicos-entertainment,BRAND,"Medicos Entertainment",200,YES,https://collectibles.uy/marca/medicos-entertainment,YES,YES,"Medicos Entertainment en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/basketball-nba-cards,CATEGORY,"Basketball / NBA",200,YES,https://collectibles.uy/categoria/basketball-nba-cards,YES,YES,"Basketball / NBA en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/otros-tcg,CATEGORY,"Otros TCG",200,YES,https://collectibles.uy/categoria/otros-tcg,YES,YES,"Otros TCG en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/dragon-ball-tcg,CATEGORY,"Dragon Ball",200,YES,https://collectibles.uy/categoria/dragon-ball-tcg,YES,YES,"Dragon Ball en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/american-football-nfl-cards,CATEGORY,"American Football / NFL",200,YES,https://collectibles.uy/categoria/american-football-nfl-cards,YES,YES,"American Football / NFL en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/magic-the-gathering-tcg,CATEGORY,"Magic: The Gathering",200,YES,https://collectibles.uy/categoria/magic-the-gathering-tcg,YES,YES,"Magic: The Gathering en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/otros-sports-cards,CATEGORY,"Otros Sports Cards",200,YES,https://collectibles.uy/categoria/otros-sports-cards,YES,YES,"Otros Sports Cards en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-mega-18,CATEGORY,"Funko Pop! Mega (18"")",200,YES,https://collectibles.uy/categoria/funko-pop-mega-18,YES,YES,"Funko Pop! Mega (18&quot;) en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/disney-lorcana-tcg,CATEGORY,"Disney Lorcana",200,YES,https://collectibles.uy/categoria/disney-lorcana-tcg,YES,YES,"Disney Lorcana en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-movie-posters,CATEGORY,"Funko Pop! Movie Posters",200,YES,https://collectibles.uy/categoria/funko-pop-movie-posters,YES,YES,"Funko Pop! Movie Posters en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/trading-cards-sports-cards,CATEGORY,"TRADING CARDS / SPORTS CARDS",200,YES,https://collectibles.uy/categoria/trading-cards-sports-cards,YES,YES,"TRADING CARDS / SPORTS CARDS en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/mattel,BRAND,"Mattel",200,YES,https://collectibles.uy/marca/mattel,YES,YES,"Mattel en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/comics-entertainment-cards,CATEGORY,"Comics & Entertainment",200,YES,https://collectibles.uy/categoria/comics-entertainment-cards,YES,YES,"Comics &amp; Entertainment en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-holiday,CATEGORY,"Funko Pop! Holiday",200,YES,https://collectibles.uy/categoria/funko-pop-holiday,YES,YES,"Funko Pop! Holiday en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/funko-pop-jumbo-10,CATEGORY,"Funko Pop! Jumbo (10"")",200,YES,https://collectibles.uy/categoria/funko-pop-jumbo-10,YES,YES,"Funko Pop! Jumbo (10&quot;) en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/mcfarlane,BRAND,"Mcfarlane",200,YES,https://collectibles.uy/marca/mcfarlane,YES,YES,"Mcfarlane en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/categoria/marvel-cards,CATEGORY,"Marvel",200,YES,https://collectibles.uy/categoria/marvel-cards,YES,YES,"Marvel en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/square-enix,BRAND,"Square Enix",200,YES,https://collectibles.uy/marca/square-enix,YES,YES,"Square Enix en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/banpresto,BRAND,"Banpresto",200,YES,https://collectibles.uy/marca/banpresto,YES,YES,"Banpresto en Uruguay | Collectibles",YES,YES,PASS
https://collectibles.uy/marca/takaratomy,BRAND,"TakaraTomy",200,YES,https://collectibles.uy/marca/takaratomy,YES,YES,"TakaraTomy en Uruguay | Collectibles",YES,YES,PASS
